表章項目,時間軸（月次）,市区町村 コード,市区町村,/国籍07,総数,中国,韓国,韓国・朝鮮,フィリピン,ブラジル,ベトナム,ペルー,ネパール,米国,台湾,その他
人数【人】,2016年6月,2405,六戸町,,80,24,1,***,2,-,6,***,-,12,-,35
人数【人】,2016年6月,2406,横浜町,,35,-,-,***,2,1,25,***,-,2,-,5
人数【人】,2016年6月,2408,東北町,,86,67,-,***,10,1,1,***,-,4,-,3
人数【人】,2016年6月,2411,六ヶ所村,,83,15,7,***,3,2,19,***,-,4,1,32
人数【人】,2016年6月,2412,おいらせ町,,150,34,10,***,34,2,13,***,-,32,-,25
人数【人】,2016年6月,2423,大間町,,12,-,7,***,4,-,-,***,-,1,-,-
人数【人】,2016年6月,2424,東通村,,6,1,2,***,2,-,-,***,-,-,-,1
人数【人】,2016年6月,2425,風間浦村,,1,-,-,***,-,-,-,***,-,1,-,-
人数【人】,2016年6月,2426,佐井村,,2,-,-,***,1,-,-,***,-,1,-,-
人数【人】,2016年6月,2441,三戸町,,53,16,-,***,25,2,-,***,-,4,-,6
人数【人】,2016年6月,2442,五戸町,,50,16,5,***,16,-,-,***,-,4,1,8
人数【人】,2016年6月,2443,田子町,,17,3,-,***,11,-,-,***,-,3,-,-
人数【人】,2016年6月,2445,南部町,,41,14,-,***,13,-,-,***,3,5,-,6
人数【人】,2016年6月,2446,階上町,,53,12,4,***,12,-,12,***,-,3,1,9
人数【人】,2016年6月,2450,新郷村,,7,3,-,***,2,-,-,***,-,2,-,-
人数【人】,2016年6月,3201,盛岡市,,1412,478,280,***,102,4,84,***,76,61,38,289
人数【人】,2016年6月,3202,宮古市,,148,70,16,***,17,-,21,***,-,7,-,17
人数【人】,2016年6月,3203,大船渡市,,370,172,17,***,57,-,74,***,-,5,1,44
人数【人】,2016年6月,3205,花巻市,,310,139,42,***,37,-,32,***,7,13,2,38
人数【人】,2016年6月,3206,北上市,,422,103,102,***,56,4,57,***,-,7,13,80
人数【人】,2016年6月,3207,久慈市,,174,50,17,***,52,1,40,***,-,5,-,9
人数【人】,2016年6月,3208,遠野市,,93,45,16,***,9,1,15,***,-,1,1,5
人数【人】,2016年6月,3209,一関市,,802,217,98,***,251,20,82,***,3,17,1,113
人数【人】,2016年6月,3210,陸前高田市,,107,65,1,***,27,-,8,***,-,1,1,4
人数【人】,2016年6月,3211,釜石市,,184,33,13,***,17,1,91,***,-,9,-,20
人数【人】,2016年6月,3213,二戸市,,167,80,1,***,50,-,24,***,-,3,-,9
人数【人】,2016年6月,3214,八幡平市,,137,68,10,***,28,1,10,***,2,4,1,13
人数【人】,2016年6月,3215,奥州市,,515,201,72,***,113,3,39,***,6,11,10,60
人数【人】,2016年6月,3216,滝沢市,,158,75,26,***,12,-,17,***,-,9,4,15
人数【人】,2016年6月,3301,雫石町,,38,8,11,***,8,-,-,***,-,2,-,9
人数【人】,2016年6月,3302,葛巻町,,17,2,2,***,11,-,-,***,-,-,-,2
人数【人】,2016年6月,3303,岩手町,,133,25,2,***,72,1,28,***,-,-,-,5
人数【人】,2016年6月,3305,滝沢村,,***,***,***,***,***,***,***,***,***,***,***,***
人数【人】,2016年6月,3321,紫波町,,61,16,13,***,7,-,2,***,4,4,-,15
人数【人】,2016年6月,3322,矢巾町,,65,31,4,***,4,-,6,***,-,3,-,17
人数【人】,2016年6月,3366,西和賀町,,9,1,4,***,2,-,1,***,-,1,-,-
人数【人】,2016年6月,3381,金ケ崎町,,158,84,18,***,20,1,20,***,-,3,-,12
人数【人】,2016年6月,3402,平泉町,,29,4,2,***,3,-,11,***,-,1,-,8
人数【人】,2016年6月,3441,住田町,,92,63,-,***,1,-,23,***,-,2,-,3
人数【人】,2016年6月,3461,大槌町,,25,10,1,***,4,-,4,***,-,2,-,4
人数【人】,2016年6月,3482,山田町,,45,23,11,***,2,-,6,***,-,1,-,2
人数【人】,2016年6月,3483,岩泉町,,47,21,5,***,4,-,14,***,-,2,-,1
人数【人】,2016年6月,3484,田野畑村,,16,1,-,***,14,-,-,***,-,-,-,1
人数【人】,2016年6月,3485,普代村,,12,-,-,***,-,-,10,***,-,1,-,1
人数【人】,2016年6月,3501,軽米町,,68,32,1,***,9,-,25,***,-,-,-,1
人数【人】,2016年6月,3503,野田村,,9,5,-,***,4,-,-,***,-,-,-,-
人数【人】,2016年6月,3506,九戸村,,12,10,-,***,-,-,-,***,-,-,-,2
人数【人】,2016年6月,3507,洋野町,,61,28,2,***,10,1,11,***,-,3,-,6
人数【人】,2016年6月,3524,一戸町,,158,21,2,***,76,-,48,***,-,3,-,8
人数【人】,2016年6月,4100,仙台市,,11692,3735,2033,***,467,81,1243,***,1140,502,207,2284
