"統計名：","在留外国人統計（旧登録外国人統計） 在留外国人統計"
"表番号：","07"
"表題：","市区町村別　国籍・地域別　在留外国人"
"実施年月：","-","-"
"市区町村時点（年月日）：","2015年12月31日"

"***","数字が得られないもの"
"-","数字が得られないもの"

"","","","","","","","000","","105","","103","","901","","117","","410","","110","","407","","131","","304","","106","","960",""
"表章項目 コード","表章項目","時間軸（月次） コード","時間軸（月次）","市区町村 コード","市区町村","/国籍07","総数","注釈","中国","注釈","韓国","注釈","韓国・朝鮮","注釈","フィリピン","注釈","ブラジル","注釈","ベトナム","注釈","ペルー","注釈","ネパール","注釈","米国","注釈","台湾","注釈","その他","注釈"
"101","人数【人】","2016000606","2016年6月","01346","八雲町","","143","","59","","8","","***","","1","","2","","45","","***","","-","","-","","3","","25",""
"101","人数【人】","2016000606","2016年6月","01347","長万部町","","88","","85","","-","","***","","-","","-","","-","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01361","江差町","","14","","2","","2","","***","","5","","-","","2","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01362","上ノ国町","","24","","6","","2","","***","","-","","-","","-","","***","","-","","1","","-","","15",""
"101","人数【人】","2016000606","2016年6月","01363","厚沢部町","","18","","1","","6","","***","","-","","-","","-","","***","","-","","1","","-","","10",""
"101","人数【人】","2016000606","2016年6月","01364","乙部町","","4","","-","","-","","***","","-","","-","","-","","***","","-","","1","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01367","奥尻町","","6","","1","","2","","***","","1","","-","","-","","***","","-","","-","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01370","今金町","","2","","1","","-","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01371","せたな町","","34","","21","","1","","***","","-","","-","","9","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01391","島牧村","","1","","-","","1","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01392","寿都町","","38","","30","","1","","***","","-","","-","","6","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01393","黒松内町","","4","","-","","1","","***","","1","","-","","-","","***","","-","","-","","1","","1",""
"101","人数【人】","2016000606","2016年6月","01394","蘭越町","","19","","-","","1","","***","","2","","-","","-","","***","","1","","2","","3","","10",""
"101","人数【人】","2016000606","2016年6月","01395","ニセコ町","","196","","22","","22","","***","","2","","1","","3","","***","","6","","20","","21","","99",""
"101","人数【人】","2016000606","2016年6月","01396","真狩村","","8","","1","","-","","***","","1","","-","","-","","***","","-","","-","","1","","5",""
"101","人数【人】","2016000606","2016年6月","01397","留寿都村","","74","","10","","5","","***","","-","","1","","-","","***","","9","","-","","30","","19",""
"101","人数【人】","2016000606","2016年6月","01398","喜茂別町","","21","","2","","1","","***","","1","","-","","2","","***","","-","","2","","11","","2",""
"101","人数【人】","2016000606","2016年6月","01399","京極町","","22","","13","","-","","***","","8","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01400","倶知安町","","612","","23","","11","","***","","2","","3","","2","","***","","17","","16","","12","","526",""
"101","人数【人】","2016000606","2016年6月","01401","共和町","","10","","4","","1","","***","","1","","-","","2","","***","","1","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01402","岩内町","","34","","5","","6","","***","","3","","-","","9","","***","","1","","5","","-","","5",""
"101","人数【人】","2016000606","2016年6月","01403","泊村","","4","","-","","2","","***","","-","","-","","-","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01404","神恵内村","","-","","-","","-","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01405","積丹町","","3","","-","","1","","***","","-","","-","","-","","***","","1","","-","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01406","古平町","","47","","25","","-","","***","","-","","-","","19","","***","","-","","-","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01407","仁木町","","64","","46","","1","","***","","-","","-","","14","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01408","余市町","","140","","72","","6","","***","","8","","-","","43","","***","","-","","1","","2","","8",""
"101","人数【人】","2016000606","2016年6月","01409","赤井川村","","21","","-","","2","","***","","-","","-","","-","","***","","3","","2","","2","","12",""
"101","人数【人】","2016000606","2016年6月","01423","南幌町","","41","","26","","5","","***","","1","","-","","6","","***","","-","","3","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01424","奈井江町","","10","","-","","7","","***","","2","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01425","上砂川町","","9","","6","","1","","***","","-","","-","","-","","***","","-","","2","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01427","由仁町","","12","","1","","7","","***","","-","","-","","-","","***","","-","","-","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01428","長沼町","","20","","3","","2","","***","","5","","-","","-","","***","","4","","1","","-","","5",""
"101","人数【人】","2016000606","2016年6月","01429","栗山町","","68","","30","","5","","***","","2","","-","","20","","***","","4","","2","","-","","5",""
"101","人数【人】","2016000606","2016年6月","01430","月形町","","4","","1","","-","","***","","1","","-","","-","","***","","-","","-","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01431","浦臼町","","4","","4","","-","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01432","新十津川町","","7","","3","","-","","***","","1","","-","","1","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01433","妹背牛町","","13","","-","","1","","***","","-","","-","","12","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01434","秩父別町","","1","","-","","-","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01436","雨竜町","","11","","1","","-","","***","","-","","-","","-","","***","","-","","1","","-","","9",""
"101","人数【人】","2016000606","2016年6月","01437","北竜町","","2","","-","","1","","***","","1","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01438","沼田町","","1","","-","","1","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01452","鷹栖町","","4","","-","","2","","***","","-","","-","","-","","***","","-","","-","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01453","東神楽町","","21","","3","","2","","***","","-","","-","","6","","***","","-","","5","","-","","5",""
"101","人数【人】","2016000606","2016年6月","01454","当麻町","","8","","2","","-","","***","","-","","-","","3","","***","","-","","-","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01455","比布町","","2","","-","","1","","***","","-","","-","","-","","***","","-","","-","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01456","愛別町","","81","","20","","1","","***","","-","","-","","56","","***","","-","","1","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01457","上川町","","45","","27","","-","","***","","3","","-","","3","","***","","-","","-","","9","","3",""
"101","人数【人】","2016000606","2016年6月","01458","東川町","","185","","26","","9","","***","","-","","1","","59","","***","","-","","3","","34","","53",""
"101","人数【人】","2016000606","2016年6月","01459","美瑛町","","52","","14","","6","","***","","-","","-","","15","","***","","-","","3","","8","","6",""
"101","人数【人】","2016000606","2016年6月","01460","上富良野町","","59","","4","","3","","***","","13","","-","","-","","***","","6","","-","","28","","5",""
"101","人数【人】","2016000606","2016年6月","01461","中富良野町","","19","","2","","1","","***","","-","","-","","7","","***","","-","","4","","4","","1",""
"101","人数【人】","2016000606","2016年6月","01462","南富良野町","","13","","1","","1","","***","","-","","-","","-","","***","","6","","1","","3","","1",""
"101","人数【人】","2016000606","2016年6月","01463","占冠村","","112","","11","","21","","***","","-","","-","","-","","***","","27","","2","","48","","3",""
"101","人数【人】","2016000606","2016年6月","01464","和寒町","","14","","3","","2","","***","","-","","-","","7","","***","","-","","-","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01465","剣淵町","","1","","-","","-","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01468","下川町","","29","","19","","1","","***","","-","","-","","6","","***","","-","","-","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01469","美深町","","18","","15","","-","","***","","-","","-","","-","","***","","-","","1","","1","","1",""
"101","人数【人】","2016000606","2016年6月","01470","音威子府村","","8","","4","","-","","***","","1","","-","","-","","***","","-","","3","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01471","中川町","","10","","8","","1","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01472","幌加内町","","2","","-","","-","","***","","1","","-","","-","","***","","-","","-","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01481","増毛町","","50","","35","","-","","***","","1","","-","","13","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01482","小平町","","21","","15","","1","","***","","-","","-","","2","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01483","苫前町","","13","","12","","-","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01484","羽幌町","","7","","2","","1","","***","","2","","-","","-","","***","","-","","2","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01485","初山別村","","-","","-","","-","","***","","-","","-","","-","","***","","-","","-","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01486","遠別町","","21","","11","","-","","***","","1","","-","","5","","***","","-","","-","","-","","4",""
"101","人数【人】","2016000606","2016年6月","01487","天塩町","","27","","10","","1","","***","","-","","-","","3","","***","","-","","9","","3","","1",""
"101","人数【人】","2016000606","2016年6月","01511","猿払村","","113","","111","","1","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01512","浜頓別町","","108","","103","","1","","***","","1","","-","","-","","***","","-","","2","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01513","中頓別町","","1","","-","","-","","***","","-","","-","","-","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01514","枝幸町","","144","","107","","1","","***","","1","","-","","13","","***","","-","","1","","-","","21",""
"101","人数【人】","2016000606","2016年6月","01516","豊富町","","20","","8","","1","","***","","2","","-","","6","","***","","-","","2","","1","","-",""
"101","人数【人】","2016000606","2016年6月","01517","礼文町","","23","","19","","-","","***","","-","","-","","3","","***","","-","","1","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01518","利尻町","","3","","-","","-","","***","","-","","-","","-","","***","","-","","1","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01519","利尻富士町","","16","","8","","1","","***","","-","","3","","-","","***","","-","","-","","4","","-",""
"101","人数【人】","2016000606","2016年6月","01520","幌延町","","22","","13","","-","","***","","1","","-","","3","","***","","-","","-","","2","","3",""
"101","人数【人】","2016000606","2016年6月","01543","美幌町","","51","","24","","1","","***","","9","","-","","3","","***","","2","","9","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01544","津別町","","13","","6","","-","","***","","3","","-","","-","","***","","-","","1","","-","","3",""
"101","人数【人】","2016000606","2016年6月","01545","斜里町","","117","","34","","3","","***","","10","","-","","27","","***","","-","","-","","12","","31",""
"101","人数【人】","2016000606","2016年6月","01546","清里町","","4","","-","","1","","***","","1","","-","","-","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01547","小清水町","","16","","7","","-","","***","","2","","-","","5","","***","","-","","1","","-","","1",""
"101","人数【人】","2016000606","2016年6月","01549","訓子府町","","25","","9","","-","","***","","8","","-","","4","","***","","-","","2","","-","","2",""
"101","人数【人】","2016000606","2016年6月","01550","置戸町","","8","","1","","-","","***","","4","","-","","1","","***","","-","","2","","-","","-",""
"101","人数【人】","2016000606","2016年6月","01552","佐呂間町","","142","","86","","1","","***","","8","","-","","12","","***","","-","","1","","1","","33",""
